Equipe;Processo;Data Entrada;Status;Responsável;Prazo;UF;Contrato;BR;Tipo;Assunto;Providência;SEI Recebido;1 - SEI Criado;2 - SEI Criado;3 - SEI Criado;Data de Revisão;Observações;Data de Assinatura;Criado por;Data Criação;Cadastrado no SIMA?;Tem Prazo;Comentários;
ASSESSORIA COAC;50600.016962/2026-37;2026-05-20;Assinado;Rafaela;2026-05-27;-;-;-;DNIT/SRE;Divulgação da portaria que institui o Programa Nacional de Manutenção e Modernização de OAEs;Dar ciência;24803619;24899978;;;2026-05-27;Documento assinado por Marília Bomtempo em 28/05/2026;2026-05-28;Rafaela Nobrega;2026-05-27;Sim;Não;;
PROJETO;50612.002355/2024-99;2026-05-27;Assinado;Bruno;2026-06-03;DF/GO;12 00350/2024;BR-070;Projetos;Termo de Aceite de Projeto Básico Nº PE.070GO.00350-2024.009 (SEI 24886353);Ciência;24886512;24899388;;;2026-05-27;;2026-06-03;Bruno Pimenta Resende;2026-05-27;Sim;Não;;
ASSESSORIA COAC;50001.107890/2026-95;2026-05-22;Assinado;Rafaela;2026-06-03;MG;-;BR-381;FALA-BR;Solicitação de envio de projetos e cronograma - Contrato nº 619/2024 - Lei de Acesso à Informação;Informar acerca do andamento do contrato;24846904;24899565;;;2026-05-27;Documento assinado por Marília Bomtempo em 03/06/2026 e Thiago Pitombeira em 08/06/2026;2026-06-08;Rafaela Nobrega;2026-05-27;Sim;Não;;
ASSESSORIA COAC;50600.018163/2026-03;2026-05-26;Assinado;Rafaela;2026-06-10;MG;-;BR-262;Outros;Pedido de liberação de recursos para recuperação e duplicação da BR-262 pela Assembleia Legislativa do Estado de Minas Gerais;Informar que essa coordenação não possui ciência dos termos do acordo de Mariana;24890843;24908110;;;2026-05-27;Assinado por Marília Bomtempo e Thiago Pitombeira em 28/05/2026;2026-05-28;Rafaela Nobrega;2026-05-27;Sim;Sim;;
ASSESSORIA COAC;50600.016816/2026-10;2026-05-12;Assinado;Maria Júlia;2026-05-19;-;-;-;DNIT/SRE;Levantamento das informações orçamentárias relacionadas à ação 218S.0001 - Apoio ao planejamento, gerenciamento e acompanhamento da implementação de empreendimentos de infraestrutura. ;Informar que a CGCONT não tem necessidades orçamentárias referentes à ação 218S para serem consideradas no exercício de 2027.;24723505;24907726;;;2026-05-27;;2026-05-28;Maria Julia de Miranda Fiel dos Santos;2026-05-27;Sim;Não;;
ASSESSORIA COAC;50600.017305/2026-15;2026-05-27;Assinado;Rafaela;2026-06-03;SC;-;BR-153;Outros;Solicitação de apoio para melhorias urgentes na rodovia BR-153/SC;Informar que não temos contratos ativos para a BR solicitada;24877018;24912924;;;2026-05-28;Documento assinado por Marília Bomtempo e Thiago Pitombeira em 28/05/2026;2026-05-28;Rafaela Nobrega;2026-05-28;Sim;Não;;
PROJETO;50606.000347/2025-78;2026-05-28;Assinado;Bruno;2026-06-04;MG;00 00619/2024;BR-381;Projetos;Análise de Projeto - Contrato nº 619/2024 - rodovia BR-381/MG.;Encaminhamento para empresa;24907919;24967661;24967705;;2026-06-02;24913599;2026-06-03;Bruno Pimenta Resende;2026-05-28;Sim;Não;;
ASSESSORIA COAC;50621.000938/2023-95;2026-05-22;Assinado;Rafaela;2026-05-29;SE;-;-;DNIT/SRE;Publicação do Termo de Transferência - Federalização de trechos da rodovia estadual SE-335;Dar ciência;24831977;24917940;;;2026-05-28;Documento assinado por Marília Bomtempo em 28/05/2026;2026-05-28;Rafaela Nobrega;2026-05-28;Sim;Não;;
ASSESSORIA COAC;50600.017907/2026-64;2026-05-27;Assinado;Rafaela;2026-06-03;-;-;-;DNIT/SRE;Solicitação de apoio em questões relacionadas aos Termos de Arrolamento e Transferência de Bens de diversas concessionárias;Informar que não é nosso escopo e sugerir encaminhamento para SREs envolvidas;24861710;24919918;;;2026-05-28;Documento assinado por Marília Bomtempo e Thiago Pitombeira em 28/05/2026;2026-05-28;Rafaela Nobrega;2026-05-28;Sim;Não;;
PROJETO;50605.000092/2026-34;2026-05-29;Assinado;Bruno;2026-06-05;BA;05 00068/2026;BR-101;Projetos;Análise de Projeto - Contrato nº 68/2026 - rodovia BR-101/BA.;Encaminhamento para a empresa;24914025;24968393;;;2026-06-02;;2026-06-03;Bruno Pimenta Resende;2026-05-29;Sim;Não;;
PROJETO;50609.002327/2021-88;2026-05-29;Assinado;Bruno;2026-06-05;PR;09 00070/2022;BR-376;Projetos;Entrega de Respostas às Análises dos Projetos;Encaminhamento para a SR;24925102;24968536;;;2026-06-02;;2026-06-03;Bruno Pimenta Resende;2026-05-29;Sim;Não;;
PROJETO;50600.031376/2022-99;2026-05-29;Assinado;Bruno;2026-06-05;PR;09 00070/2022;BR-376;Projetos;Entrega de Respostas às Análises dos Projetos;Ciência;24928404;24968666;;;2026-06-02;;2026-06-03;Bruno Pimenta Resende;2026-05-29;Sim;Não;;
ASSESSORIA COAC;50600.018350/2026-89;2026-05-28;Assinado;Maria Júlia;2026-06-04;MG;-;-;Outros;Solicitações de informações quanto aos Lotes 8A e 8B da BR-381/MG, em Minas Gerais. ;Informar quanto aos dados contratuais e orçamento dos contratos 619/2024 (Lote 8A) e 041/2025 (Lote 8B). ;24917233;24936687;;;2026-05-29;;2026-06-01;Maria Julia de Miranda Fiel dos Santos;2026-05-29;Sim;Não;;
ASSESSORIA COAC;50600.018550/2026-31;2026-05-29;Assinado;Rafaela;2026-06-01;MG;-;BR-365;DNIT/SRE;Solicitação de informações relativas à Ponte do Guaicuí localizada na rodovia BR-365/MG no município de Várzea da Palma/MG;Informar que não temos contrato ativo para o trecho em questão;24917891;24940876;;;2026-06-01;Assinado por Marília Bomtempo e Thiago Pitombeira em 01/06/2026;2026-06-01;Rafaela Nobrega;2026-06-01;Sim;Sim;;
PROJETO;50600.018636/2026-64;2026-06-01;Assinado;Bruno;2026-06-08;AM;00 00389/2024;BR-319;Projetos;Abertura do processo de análise.;Ciência e responsabilidade de comunicação;24921434;24971830;;;2026-06-03;;2026-06-03;Bruno Pimenta Resende;2026-06-01;Sim;Não;;
ASSESSORIA COAC;50609.004196/2023-35;2026-06-01;Assinado;Rafaela;2026-06-08;PR;-;-;DNIT/SRE;Publicação de retificação do 1º Termo Aditivo ao Termo de Transferência nº 13/2026;Dar ciência;24934174;24948432;;;2026-06-01;Documento assinado por Marília Bomtempo em 01/06/2026;2026-06-01;Rafaela Nobrega;2026-06-01;Sim;Não;;
PROJETO;50600.023451/2025-91;2026-06-01;Assinado;Bruno;2026-06-08;RS;00 00375/2024;BR-116;Projetos;Informações sobre a emissão de portaria de declaração de utilidade pública.;Ciência;24923441;24970764;;;2026-06-03;;2026-06-03;Bruno Pimenta Resende;2026-06-01;Sim;Não;;
PROJETO;50609.004210/2023-09;2026-06-01;Assinado;Bruno;2026-06-08;PR;09 00397/2021;BR-487;Projetos;Análise de Projeto - Contrato nº 397/2021 - rodovia BR-487/PR - Lote 2A.;Verificar;24936758;24969680;24969693;;2026-06-02;;2026-06-03;Bruno Pimenta Resende;2026-06-01;Sim;Não;;
ASSESSORIA COAC;50600.018150/2026-26;2026-06-02;Assinado;Maria Júlia;2026-06-09;MG;-;-;ANTT;Delegação do corredor rodoviário da BR-365/MG compreendido entre os municípios de Montes Claros e Patrocínio.;Informar acerca da previsão de licitação das obras da BR-365/MG.;24968408;24973812;;;2026-06-03;;2026-06-08;Maria Julia de Miranda Fiel dos Santos;2026-06-03;Sim;Não;;
ASSESSORIA COAC;50600.018665/2026-26;2026-06-03;Assinado;Rafaela;2026-06-10;BA;-;-;Outros;Solicitação de informações para atualização de EVTEA - Concessão da Rota 2 de Julho, nas rodovias BR-116/BA e BR-324/BA;Informar acerca das ações e contratos que estão ativos para as BRs em questão;24965316;24978601;;;2026-06-03;Documento assinado por Marília Bomtempo em 02/07/2026;2026-07-02;Rafaela Nobrega;2026-06-03;Sim;Não;;
ASSESSORIA COAC;50622.002140/2023-78;2026-05-20;Assinado;Maria Júlia;2026-05-27;RO;-;-;DNIT/SRE;Procedimento de reconhecimento de dívida concernente ao Contrato n.º 00 00546/2013, cujo objeto foi a execução das obras de construção de pontes rodoviárias e bueiros celulares na rodovia BR-429/RO.;Encaminhar pra DIR e informar sobre a 3ª Janela de Alteração Orçamentária de 2026.;24823855;24979367;24980134;;2026-06-03;;2026-06-08;Maria Julia de Miranda Fiel dos Santos;2026-06-03;Sim;Não;;
ASSESSORIA COAC;50600.346572/2015-36;2026-05-20;Assinado;Maria Júlia;2026-05-27;PB;-;-;DNIT/SRE;Procedimento de reconhecimento de dívida concernente ao Contrato n.º 13 00293/2010, cujo objeto foi a Supervisão das Obras de Implantação e Pavimentação da BR-434/PB.;Encaminhar pra DIR e informar sobre a 3ª Janela de Alteração Orçamentária de 2026.;24829012;24963337;24963375;;2026-06-03;;2026-06-08;Maria Julia de Miranda Fiel dos Santos;2026-06-03;Sim;Não;;
ASSESSORIA COAC;50600.018553/2026-75;2026-06-02;Assinado;Maria Júlia;2026-06-09;-;-;-;Ministério;Projeto de Lei n.º 494/2026, que institui o Marco Legal do Desenvolvimento Estruturante da Região Norte – NORTE 2035.;Informar se tratar de matéria que escapa às competências da CGCONT. ;24960714;24981908;;;2026-06-03;;2026-06-08;Maria Julia de Miranda Fiel dos Santos;2026-06-03;Sim;Não;;
PROJETO;50609.001619/2026-16;2026-06-03;Assinado;Bruno;2026-06-10;PR;09 00070/2022;BR-376;Projetos;Retificação de Documento da Carta n° 024/2026;Verificar;24980253;24990586;;;2026-06-08;;2026-06-10;Bruno Pimenta Resende;2026-06-08;Sim;Não;;
PROJETO;50609.001437/2026-37;2026-06-12;Assinado;Bruno;2026-06-19;PR;09 00070/2022;BR-376;Projetos;"Relatório de Análise nº 405/2026 –
Projeto Básico/Executivo OAE 06 e 08.";Encaminhamento para a DPP;24988790;25052564;;;2026-06-12;;2026-06-18;Bruno Pimenta Resende;2026-06-12;Sim;Não;;
PROJETO;50600.037160/2024-07;2026-06-12;Assinado;Bruno;2026-06-19;BA;00 00392/2024;BR-030;Projetos;Projeto de Obras Complementares_R03;Ciência e encaminhamento;24996928;25111472;25111478;;2026-06-18;"25052999
25053785";2026-06-18;Bruno Pimenta Resende;2026-06-12;Sim;Não;;
PROJETO;50606.003862/2025-18;2026-06-12;Assinado;Bruno;2026-06-19;MG;00 00041/2025;BR-381;Projetos;Análise de Projetos - Contrato nº 00.00041/2025 – BR-381/MG - Lote 8B.;Ciência;25015186;25058109;;;2026-06-12;;2026-06-18;Bruno Pimenta Resende;2026-06-12;Sim;Não;;
PROJETO;50623.001914/2025-03;2026-06-12;Assinado;Bruno;2026-06-19;TO;00 00958/2024;BR-226;Projetos;Contrato n.º 00958/2024-00 - Análise do Orçamento do Projeto Executivo (Volume 4).;Verificar;25021612;25066316;;;2026-06-15;;2026-06-18;Bruno Pimenta Resende;2026-06-12;Sim;Não;;
